epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,10939.4,0.86147,1.13262,0.74063,1.17829,0.64383,0.61312,0.62867,0.50513,0.64362,0.61431,0.62865,0.51158,1.10742,1.24096,0.96528,1.06457,4.56885e-05,4.56885e-05,4.56885e-05
88,11062.2,0.8287,1.13844,0.73219,1.19108,0.64441,0.62309,0.64361,0.51126,0.64643,0.62494,0.64546,0.52396,1.11495,1.24933,0.92863,1.07678,4.05692e-05,4.05692e-05,4.05692e-05
89,11184,0.85687,1.13422,0.72167,1.18137,0.65325,0.61372,0.62843,0.50224,0.65712,0.61792,0.63194,0.51724,1.11113,1.24088,0.96079,1.06699,3.58085e-05,3.58085e-05,3.58085e-05
90,11306.3,0.85453,1.17609,0.75022,1.1834,0.64659,0.62349,0.63702,0.50674,0.64471,0.62685,0.63826,0.53213,1.12463,1.26933,0.94417,1.10341,3.14112e-05,3.14112e-05,3.14112e-05
91,11427.8,0.83942,1.10691,0.72285,1.17395,0.65784,0.61944,0.63711,0.51287,0.6593,0.6213,0.63742,0.53318,1.0938,1.23749,0.90502,1.0488,2.73816e-05,2.73816e-05,2.73816e-05
92,11555.7,0.84272,1.12929,0.71693,1.1733,0.65704,0.61426,0.63492,0.5151,0.66181,0.61738,0.63646,0.53258,1.09486,1.24797,0.92047,1.05845,2.37237e-05,2.37237e-05,2.37237e-05
93,11681.1,0.84308,1.13192,0.72128,1.16527,0.6882,0.6187,0.64061,0.51674,0.69264,0.62241,0.64103,0.52811,1.08352,1.23901,0.90959,1.04027,2.04411e-05,2.04411e-05,2.04411e-05
94,11803.9,0.81688,1.10209,0.70591,1.18206,0.65572,0.61944,0.62602,0.5064,0.65707,0.62166,0.62799,0.51891,1.09593,1.23534,0.92708,1.05076,1.7537e-05,1.7537e-05,1.7537e-05
95,11926.3,0.84091,1.12434,0.72157,1.16354,0.64215,0.62273,0.62676,0.49892,0.63927,0.6231,0.6272,0.51607,1.10055,1.23414,0.9368,1.05845,1.50142e-05,1.50142e-05,1.50142e-05
96,12048.9,0.85006,1.11747,0.71904,1.16715,0.63888,0.6213,0.62475,0.5015,0.63888,0.6213,0.62524,0.50649,1.08801,1.22865,0.92784,1.04942,1.28754e-05,1.28754e-05,1.28754e-05
97,12171.6,0.81872,1.09311,0.70609,1.15622,0.64561,0.60463,0.62288,0.49946,0.6445,0.60648,0.62322,0.51052,1.09391,1.24773,0.92826,1.0572,1.11226e-05,1.11226e-05,1.11226e-05
98,12294.5,0.82857,1.12673,0.70444,1.17817,0.65113,0.6213,0.62786,0.5044,0.65327,0.62315,0.62883,0.51424,1.09614,1.2428,0.91653,1.05721,9.75746e-06,9.75746e-06,9.75746e-06
99,12417.3,0.83218,1.10094,0.69046,1.15408,0.63492,0.62022,0.61601,0.49144,0.63756,0.62363,0.61717,0.5049,1.09985,1.2449,0.94432,1.06173,8.78142e-06,8.78142e-06,8.78142e-06
100,12540,0.81883,1.10281,0.69009,1.15213,0.64724,0.61738,0.62691,0.50398,0.64898,0.61997,0.62819,0.51406,1.08899,1.2385,0.92148,1.05139,8.1954e-06,8.1954e-06,8.1954e-06
